symbol,date,open,high,low,close,volume,year,month,week,weekday
"AMC","2012-02-15","4.51","4.88","4.51","4.88","12600","2012","02","7","Wednesday"
"AMC","2012-02-16","4.88","4.88","4.88","4.88","100","2012","02","7","Thursday"
"AMC","2012-02-17","5.19","5.19","5.19","5.19","100","2012","02","7","Friday"
"AMC","2012-02-20","5.54","5.54","5.54","5.54","200","2012","02","8","Monday"
"AMC","2012-02-21","5.91","5.91","5.63","5.91","4300","2012","02","8","Tuesday"
"AMC","2012-02-22","5.76","6.13","5.76","6.13","13200","2012","02","8","Wednesday"
"AMC","2012-02-23","6.26","6.32","6.23","6.32","10800","2012","02","8","Thursday"
"AMC","2012-02-24","6.32","6.32","6.26","6.26","8000","2012","02","8","Friday"
"AMC","2012-02-28","5.85","6.29","5.85","5.85","9600","2012","02","9","Tuesday"
"AMC","2012-03-01","6.01","6.01","6.01","6.01","100","2012","03","9","Thursday"
"AMC","2012-03-05","5.95","6.41","5.95","6.41","23100","2012","03","10","Monday"
"AMC","2012-03-06","6.41","6.41","6.41","6.41","1000","2012","03","10","Tuesday"
"AMC","2012-03-07","6.1","6.1","6.01","6.1","3100","2012","03","10","Wednesday"
"AMC","2012-03-08","6.23","6.29","6.23","6.29","7200","2012","03","10","Thursday"
"AMC","2012-03-09","6.26","6.26","5.95","6.26","5600","2012","03","10","Friday"
"AMC","2012-03-12","5.76","5.76","5.76","5.76","5000","2012","03","11","Monday"
"AMC","2012-03-14","5.47","5.47","5.38","5.38","13000","2012","03","11","Wednesday"
"AMC","2012-03-15","5.01","5.01","5.01","5.01","1600","2012","03","11","Thursday"
"AMC","2012-03-16","4.69","4.85","4.66","4.85","7800","2012","03","11","Friday"
"AMC","2012-03-19","4.54","4.54","4.54","4.54","200","2012","03","12","Monday"
"AMC","2012-03-20","4.41","4.63","4.41","4.63","300","2012","03","12","Tuesday"
"AMC","2012-03-21","4.54","4.54","4.54","4.54","400","2012","03","12","Wednesday"
"AMC","2012-03-23","4.85","4.85","4.85","4.85","1500","2012","03","12","Friday"
"AMC","2012-03-26","5.16","5.16","5.16","5.16","500","2012","03","13","Monday"
"AMC","2012-03-27","5.47","5.47","5.47","5.47","100","2012","03","13","Tuesday"
"AMC","2012-03-28","5.63","5.63","5.63","5.63","100","2012","03","13","Wednesday"
"AMC","2012-03-30","5.26","5.26","5.26","5.26","2600","2012","03","13","Friday"
"AMC","2012-04-06","5.16","5.16","4.91","4.91","500","2012","04","14","Friday"
"AMC","2012-04-12","4.91","4.91","4.91","4.91","300","2012","04","15","Thursday"
"AMC","2012-04-20","5.22","5.22","5.22","5.22","800","2012","04","16","Friday"
"AMC","2012-04-23","5.57","5.57","5.57","5.57","3500","2012","04","17","Monday"
"AMC","2012-04-24","5.95","5.95","5.63","5.79","1300","2012","04","17","Tuesday"
"AMC","2012-04-25","6.1","6.1","5.79","5.79","23600","2012","04","17","Wednesday"
"AMC","2012-04-26","5.63","5.63","5.47","5.47","4000","2012","04","17","Thursday"
"AMC","2012-04-27","5.47","5.85","5.47","5.85","1200","2012","04","17","Friday"
"AMC","2012-05-02","6.26","6.26","6.26","6.26","100","2012","05","18","Wednesday"
"AMC","2012-05-03","6.7","6.7","6.54","6.54","3100","2012","05","18","Thursday"
"AMC","2012-05-09","6.15","6.15","6.15","6.15","500","2012","05","19","Wednesday"
"AMC","2012-05-11","5.74","5.77","5.74","5.74","800","2012","05","19","Friday"
"AMC","2012-05-14","5.36","5.39","5.36","5.36","2300","2012","05","20","Monday"
"AMC","2012-05-17","5.05","5.05","5.05","5.05","1800","2012","05","20","Thursday"
"AMC","2012-05-21","5.39","5.39","5.39","5.39","500","2012","05","21","Monday"
"AMC","2012-05-25","5.77","5.77","5.77","5.77","100","2012","05","21","Friday"
"AMC","2012-05-28","5.46","5.46","5.46","5.46","400","2012","05","22","Monday"
"AMC","2012-05-30","5.84","5.84","5.84","5.84","100","2012","05","22","Wednesday"
"AMC","2012-06-04","5.46","5.98","5.46","5.98","1100","2012","06","23","Monday"
"AMC","2012-06-05","5.57","6.08","5.57","6.08","1900","2012","06","23","Tuesday"
"AMC","2012-06-13","6.15","6.15","6.15","6.15","100","2012","06","24","Wednesday"
"AMC","2012-06-15","6.15","6.15","6.15","6.15","400","2012","06","24","Friday"
"AMC","2012-10-18","6.15","6.15","6.15","6.15","100","2012","10","42","Thursday"
"AMC","2012-12-05","6.15","6.15","6.15","6.15","100","2012","12","49","Wednesday"
"AMC","2013-01-11","5.74","5.74","5.74","5.74","1000","2013","01","2","Friday"
"AMC","2013-01-16","5.46","5.46","5.19","5.19","3800","2013","01","3","Wednesday"
"AMC","2013-01-18","4.68","5.63","4.68","5.63","1100","2013","01","3","Friday"
"AMC","2013-01-22","5.09","5.09","5.09","5.09","1000","2013","01","4","Tuesday"
"AMC","2013-01-24","4.64","4.64","4.64","4.64","900","2013","01","4","Thursday"
"AMC","2013-01-30","4.2","4.23","4.2","4.2","10400","2013","01","5","Wednesday"
"AMC","2013-02-01","4.1","4.61","3.93","4.61","3800","2013","02","5","Friday"
"AMC","2013-02-04","4.27","4.3","4.27","4.27","4200","2013","02","6","Monday"
"AMC","2013-02-05","4.68","4.68","4.68","4.68","100","2013","02","6","Tuesday"
"AMC","2013-02-06","4.27","4.44","4.27","4.44","3000","2013","02","6","Wednesday"
"AMC","2013-02-19","4.44","4.44","4.44","4.44","1500","2013","02","8","Tuesday"
"AMC","2013-02-20","4.37","4.37","4.3","4.3","2500","2013","02","8","Wednesday"
"AMC","2013-02-22","4.34","4.34","4.34","4.34","4000","2013","02","8","Friday"
"AMC","2013-02-25","4.37","4.47","4.37","4.47","11500","2013","02","9","Monday"
"AMC","2013-02-26","4.37","4.37","4.34","4.34","1900","2013","02","9","Tuesday"
"AMC","2013-02-27","4.34","4.34","4.34","4.34","1000","2013","02","9","Wednesday"
"AMC","2013-02-28","4.44","4.44","4.44","4.44","1000","2013","02","9","Thursday"
"AMC","2013-03-01","4.34","4.37","4.34","4.37","6000","2013","03","9","Friday"
"AMC","2013-03-04","4.37","4.37","4.37","4.37","200","2013","03","10","Monday"
"AMC","2013-03-05","4.37","4.37","4.37","4.37","2700","2013","03","10","Tuesday"
"AMC","2013-03-07","4.78","4.78","4.78","4.78","100","2013","03","10","Thursday"
"AMC","2013-03-13","5.26","5.26","5.26","5.26","2000","2013","03","11","Wednesday"
"AMC","2013-03-14","5.74","5.74","5.74","5.74","100","2013","03","11","Thursday"
"AMC","2013-03-25","5.19","5.19","5.19","5.19","100","2013","03","13","Monday"
"AMC","2013-03-27","5.22","5.26","5.19","5.19","3700","2013","03","13","Wednesday"
"AMC","2013-03-28","4.71","4.71","4.71","4.71","100","2013","03","13","Thursday"
"AMC","2013-03-29","4.37","4.37","4.37","4.37","100","2013","03","13","Friday"
"AMC","2013-04-01","4.44","4.44","4.44","4.44","300","2013","04","14","Monday"
"AMC","2013-04-02","4.88","4.88","4.88","4.88","100","2013","04","14","Tuesday"
"AMC","2013-04-09","4.42","4.96","4.42","4.96","800","2013","04","15","Tuesday"
"AMC","2013-04-17","5.42","5.42","5.42","5.42","2400","2013","04","16","Wednesday"
"AMC","2013-05-03","4.96","4.96","4.96","4.96","2400","2013","05","18","Friday"
"AMC","2013-05-06","5.42","5.42","5.42","5.42","2500","2013","05","19","Monday"
"AMC","2013-05-15","5.42","5.42","5.42","5.42","500","2013","05","20","Wednesday"
"AMC","2013-05-16","5.42","5.42","5.42","5.42","1000","2013","05","20","Thursday"
"AMC","2013-05-17","5.42","5.42","5.42","5.42","5000","2013","05","20","Friday"
"AMC","2013-05-21","5.76","5.76","5.76","5.76","300","2013","05","21","Tuesday"
"AMC","2013-05-29","5.72","5.72","5.72","5.72","1000","2013","05","22","Wednesday"
"AMC","2013-05-31","5.72","5.72","5.72","5.72","2000","2013","05","22","Friday"
"AMC","2013-06-03","5.72","5.72","5.72","5.72","1400","2013","06","23","Monday"
"AMC","2013-06-04","5.72","5.72","5.72","5.72","1000","2013","06","23","Tuesday"
"AMC","2013-06-14","5.95","5.95","5.95","5.95","100","2013","06","24","Friday"
"AMC","2013-07-11","6.49","6.49","6.49","6.49","1000","2013","07","28","Thursday"
