"id","name","chamber","url","api_uri","chair","chair_id","chair_party","chair_state","chair_uri","ranking_member_id"
"HSHA","Committee on Administration","House","https://cha.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSHA.json","Candice S. Miller","M001150","R","MI","https://api.propublica.org/congress/v1/members/M001150.json","B001227"
"HSAG","Committee on Agriculture","House","https://agriculture.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSAG.json","K. Michael Conaway","C001062","R","TX","https://api.propublica.org/congress/v1/members/C001062.json","P000258"
"HSAP","Committee on Appropriations","House","https://appropriations.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSAP.json","Harold Rogers","R000395","R","KY","https://api.propublica.org/congress/v1/members/R000395.json","L000480"
"HSAS","Committee on Armed Services","House","https://armedservices.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSAS.json","William M. Thornberry","T000238","R","TX","https://api.propublica.org/congress/v1/members/T000238.json","S000510"
"HSED","Committee on Education and Labor","House","https://edlabor.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSED.json","John Kline","K000363","R","MN","https://api.propublica.org/congress/v1/members/K000363.json","S000185"
"HSIF","Committee on Energy and Commerce","House","https://energycommerce.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSIF.json","Greg Walden","W000791","R","MI","https://api.propublica.org/congress/v1/members/W000791.json","P000034"
"HSSO","Committee on Ethics","House","https://ethics.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSSO.json","Charlie Dent","D000604","R","PA","https://api.propublica.org/congress/v1/members/D000604.json","S001156"
"HSBA","Committee on Financial Services","House","https://financialservices.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSBA.json","Jeb Hensarling","H001036","R","TX","https://api.propublica.org/congress/v1/members/H001036.json","W000187"
"HSFA","Committee on Foreign Affairs","House","https://foreignaffairs.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSFA.json","Edward Royce","R000487","R","CA","https://api.propublica.org/congress/v1/members/R000487.json","E000179"
"HSHM","Committee on Homeland Security","House","https://homeland.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSHM.json","Michael McCaul","M001157","R","TX","https://api.propublica.org/congress/v1/members/M001157.json","T000193"
"HSII","Committee on Natural Resources","House","https://naturalresources.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSII.json","Rob Bishop","B001250","R","UT","https://api.propublica.org/congress/v1/members/B001250.json","G000551"
"HSGO","Committee on Oversight and Reform","House","https://oversight.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSGO.json","Jason Chaffetz","C001076","R","UT","https://api.propublica.org/congress/v1/members/C001076.json","C000984"
"HSRU","Committee on Rules","House","https://rules.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSRU.json","Pete Sessions","S000250","R","TX","https://api.propublica.org/congress/v1/members/S000250.json","S000480"
"HSSY","Committee on Science, Space, and Technology","House","https://science.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSSY.json","Lamar Smith","S000583","R","TX","https://api.propublica.org/congress/v1/members/S000583.json","J000126"
"HSSM","Committee on Small Business","House","https://smallbusiness.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSSM.json","Steven J. Chabot","C000266","R","OH","https://api.propublica.org/congress/v1/members/C000266.json","V000081"
"HSBU","Committee on the Budget","House","https://budget.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSBU.json","Tom Price","P000591","R","GA","https://api.propublica.org/congress/v1/members/P000591.json","V000128"
"HSJU","Committee on the Judiciary","House","https://judiciary.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSJU.json","Robert W. Goodlatte","G000289","R","VA","https://api.propublica.org/congress/v1/members/G000289.json","C000714"
"HSPW","Committee on Transportation and Infrastructure","House","https://transportation.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSPW.json","Bill Shuster","S001154","R","PA","https://api.propublica.org/congress/v1/members/S001154.json","D000191"
"HSVR","Committee on Veterans' Affairs","House","https://veterans.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSVR.json","Jeff Miller","M001144","R","FL","https://api.propublica.org/congress/v1/members/M001144.json","T000472"
"HSWM","Committee on Ways and Means","House","https://waysandmeans.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSWM.json","Kevin Brady","B000755","R","TX","https://api.propublica.org/congress/v1/members/B000755.json","N000015"
"HSIG","Permanent Select Committee on Intelligence","House","https://intelligence.house.gov/","https://api.propublica.org/congress/v1/114/house/committees/HSIG.json","Devin Nunes","N000181","R","CA","https://api.propublica.org/congress/v1/members/N000181.json","S001150"
